Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture
Private Car,PORSCHE,CAYENNE COUPE,Petrol,2995,STATION WAGGON,A,-,4,"> 500,000",2019
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,C200 FL(W205),Petrol,1497,SALOON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,HONDA,CROSSROAD 18L,Petrol,1799,STATION WAGGON,C2,-,6,"<= 150,000",2010
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,A220 (W177),Petrol,1991,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,NISSAN,ELGRAND 350 HWS AVM,Petrol,3498,STATION WAGGON,C2,-,6,"> 300,000 and <= 500,000",2020
Private Car,MITSUBISHI,ECLIPSE CROSS 1.5 CVT 4WD,Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,AUDI,Q5 45 TFSI QUATTRO,Petrol,1984,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,PORSCHE,CAYENNE E-HYBRID,Petrol,2995,STATION WAGGON,A,-,4,"> 500,000",2019
Private Car,HONDA,FREED HYBRID JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2012
Private Car,MERCEDES BENZ,GLC300 4MATIC FACELIFT (X253),Petrol,1991,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,B.M.W.,X3 XDRIVE20IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,HONDA,FREED HYBRID JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2013
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020
Private Car,MINI,MINI COOPER COUNTRYMAN AUTOMATIC (F60),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,VOXY,Petrol,1986,STATION WAGGON,C1,-,6,"> 150,000 and <= 300,000",2020
Private Car,JAGUAR,E-PACE R-DYN S P250,Petrol,1997,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2018
Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,A,-,4,"<= 150,000",2020
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,NISSAN,LEAF LUX,Electric,-,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020
Private Car,MERCEDES BENZ,CLA250 COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,TOYOTA,CAMRY HYBRID,Petrol,2493,SALOON,C2,-,4,"<= 150,000",2013
Private Car,AUDI,A6 45 TFSI QUATTRO,Petrol,1984,SALOON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,LANDROVER,RR VELAR R-DYN S P250,Petrol,1997,STATION WAGGON,A,-,4,"> 500,000",2019
Private Car,LEXUS,RX450H,Petrol,3456,STATION WAGGON,A,-,4,"> 500,000",2020
Private Car,AUDI,Q5 45 TFSI QUATTRO,Petrol,1984,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,DFSK,580,Petrol,1499,STATION WAGGON,A,-,6,"<= 150,000",2020
Private Car,MASERATI,GHIBLI GRANSPORT RIBELLE,Petrol,2979,SALOON,A,-,4,"> 500,000",2020
Private Car,MERCEDES BENZ,C200 FL(W205),Petrol,1497,SALOON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,LEXUS,NX300,Petrol,1998,STATION WAGGON,C2,-,4,"> 300,000 and <= 500,000",2020
Private Car,B.M.W.,X5 XDRIVE40IA 7-SEATER (G05),Petrol,2998,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,V260 AMG EXCLUSIVE LONG,Petrol,1991,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2018
Private Car,AUDI,Q3 35 TFSI,Petrol,1498,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,HONDA,FIT RS,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2011
Private Car,JAGUAR,F-PACE 25T PRESTIGE RWD,Petrol,1997,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2018
Private Car,LAMBORGHINI,URUS 4.0 - 5 SEATS,Petrol,3996,STATION WAGGON,A,-,4,"> 500,000",2020
Private Car,SUZUKI,SOLIO 2WD CVT MILD HYBRID,Petrol,1242,STATION WAGGON,A,-,4,"<= 150,000",2020
Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020
Private Car,B.M.W.,X1 SDRIVE18IA (F48),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,TOYOTA,C-HR,Petrol,1798,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,VELLFIRE 3.5ZG,Petrol,3456,STATION WAGGON,C1,-,6,"> 300,000 and <= 500,000",2019
Private Car,AUDI,Q5 45 TFSI QUATTRO,Petrol,1984,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,MINI,MINI COOPER COUNTRYMAN AUTOMATIC (F60),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,TOYOTA,VELLFIRE,Petrol,3456,STATION WAGGON,C2,-,6,"<= 150,000",2010
Private Car,PORSCHE,718 BOXSTER SPYDER,Petrol,3995,CONVERTIBLE,A,-,1,"> 500,000",2020
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,HONDA,STEPWGN,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,GLE450 4M (V167),Petrol,2999,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019
Private Car,AUDI,A6 45 TFSI QUATTRO,Petrol,1984,SALOON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,AUDI,Q5 45 TFSI QUATTRO,Petrol,1984,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,HYUNDAI,I30 FASTBACK N,Petrol,1998,SALOON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,PRIUS HYBRID GS,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2012
Private Car,TOYOTA,SIENTA HYBRID,Petrol,1496,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2017
Private Car,B.M.W.,X1 SDRIVE18IA (F48),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,VOXY WELCAB,Petrol,1986,Station Waggon(WA),C1,-,7,"> 300,000 and <= 500,000",2020
Private Car,TOYOTA,ESTIMA AERAS G,Petrol,2362,STATION WAGGON,C2,-,6,"<= 150,000",2010
Private Car,HONDA,FIT HYBRID F PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2015
Private Car,SUBARU,WRX STI 6MT JDM,Petrol,1994,SALOON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,KIA,NIRO EV,Electric,-,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,AUDI,A3 SPORTBACK 40 TFSI QUATTRO,Petrol,1984,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,EQC 400 4MATIC (N293),Electric,-,STATION WAGGON,A,-,4,"> 500,000",2020
Private Car,PEUGEOT,5008 THP 1.6L EAT8 ALLURE,Petrol,1598,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2019
Private Car,HONDA,STEPWGN,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,SUZUKI,SOLIO BANDIT,Petrol,1242,STATION WAGGON,C2,-,4,"<= 150,000",2012
Private Car,B.M.W.,118IA SPORT (F40),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,TANK,Petrol,996,STATION WAGGON,C2,-,4,"<= 150,000",2016
Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,7,"> 150,000 and <= 300,000",2020
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,LANDROVER,DISCOVERY SPT P200 S,Petrol,1997,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019
Private Car,SUZUKI,SOLIO 2WD CVT MILD HYBRID,Petrol,1242,STATION WAGGON,A,-,4,"<= 150,000",2020
Private Car,SUZUKI,SPACIA,Petrol,658,STATION WAGGON,C2,-,3,"<= 150,000",2018
Private Car,MERCEDES BENZ,C200 FL(W205),Petrol,1497,SALOON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,E200 AVANTGARDE (W213),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,LEXUS,RX300,Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,B.M.W.,330IA SALOON M SPORT EDITION (G20),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,HONDA,JAZZ,Petrol,1496,STATION WAGGON,A,-,4,"<= 150,000",2020
Private Car,B.M.W.,218IA GRAN TOURER (F46),Petrol,1499,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,LOTUS,EXIGE SPORT 410,Petrol,3456,SALOON,D,-,1,"> 500,000",2019
Private Car,NISSAN,SILVIA,Petrol,1998,SALOON,C2,-,3,"<= 150,000",1999
Private Car,VOLVO,XC40 T4 MOMENTUM,Petrol,1969,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,MERCEDES BENZ,A220 (W177),Petrol,1991,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019
Private Car,B.M.W.,118IA SPORT (F40),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,MERCEDES-MAYBACH S560 FACELIFT (X222),Petrol,3982,SALOON,A,-,4,"> 500,000",2020
Private Car,HONDA,STEPWGN SPADA Z,Petrol,1997,STATION WAGGON,C2,-,7,"<= 150,000",2010
Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,A,-,4,"<= 150,000",2020
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,B.M.W.,X5 XDRIVE40IA 7-SEATER (G05),Petrol,2998,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019
Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2012
Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,B.M.W.,X3 XDRIVE20IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2019
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020
Private Car,MERCEDES BENZ,MERCEDES-AMG CLS53 4M (C257),Petrol,2999,SALOON,A,-,4,"> 500,000",2019
Private Car,HONDA,FREED G AERO JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2010
Private Car,TOYOTA,ALPHARD,Petrol,3456,STATION WAGGON,C2,-,6,"> 300,000 and <= 500,000",2019
Private Car,TOYOTA,ALPHARD 3.5 SC,Petrol,3456,STATION WAGGON,C1,-,6,"> 300,000 and <= 500,000",2020
Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2015
Private Car,MERCEDES BENZ,V260 EXCLUSIVE LONG,Petrol,1991,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2018
